Recorded.Value..dBA.,Date,Time,location
73.3,2025-04-21,19:17:11.426,7pm_food_truck
66.9,2025-04-21,19:17:11.636,7pm_food_truck
64.0,2025-04-21,19:17:11.846,7pm_food_truck
62.7,2025-04-21,19:17:12.056,7pm_food_truck
61.1,2025-04-21,19:17:12.267,7pm_food_truck
61.0,2025-04-21,19:17:12.476,7pm_food_truck
60.9,2025-04-21,19:17:12.686,7pm_food_truck
61.0,2025-04-21,19:17:12.896,7pm_food_truck
67.3,2025-04-21,19:17:13.106,7pm_food_truck
62.6,2025-04-21,19:17:13.316,7pm_food_truck
62.3,2025-04-21,19:17:13.526,7pm_food_truck
60.7,2025-04-21,19:17:13.736,7pm_food_truck
62.4,2025-04-21,19:17:13.946,7pm_food_truck
61.3,2025-04-21,19:17:14.156,7pm_food_truck
60.1,2025-04-21,19:17:14.366,7pm_food_truck
61.3,2025-04-21,19:17:14.576,7pm_food_truck
60.2,2025-04-21,19:17:14.786,7pm_food_truck
59.4,2025-04-21,19:17:14.996,7pm_food_truck
60.3,2025-04-21,19:17:15.206,7pm_food_truck
59.7,2025-04-21,19:17:15.416,7pm_food_truck
60.5,2025-04-21,19:17:15.626,7pm_food_truck
61.1,2025-04-21,19:17:15.836,7pm_food_truck
61.2,2025-04-21,19:17:16.046,7pm_food_truck
61.3,2025-04-21,19:17:16.256,7pm_food_truck
60.8,2025-04-21,19:17:16.466,7pm_food_truck
61.7,2025-04-21,19:17:16.676,7pm_food_truck
61.4,2025-04-21,19:17:16.886,7pm_food_truck
62.1,2025-04-21,19:17:17.096,7pm_food_truck
61.0,2025-04-21,19:17:17.306,7pm_food_truck
61.3,2025-04-21,19:17:17.516,7pm_food_truck
61.0,2025-04-21,19:17:17.727,7pm_food_truck
61.6,2025-04-21,19:17:17.936,7pm_food_truck
59.9,2025-04-21,19:17:18.146,7pm_food_truck
60.4,2025-04-21,19:17:18.356,7pm_food_truck
60.1,2025-04-21,19:17:18.566,7pm_food_truck
60.3,2025-04-21,19:17:18.776,7pm_food_truck
60.4,2025-04-21,19:17:18.986,7pm_food_truck
59.4,2025-04-21,19:17:19.196,7pm_food_truck
59.2,2025-04-21,19:17:19.406,7pm_food_truck
59.8,2025-04-21,19:17:19.616,7pm_food_truck
59.3,2025-04-21,19:17:19.826,7pm_food_truck
59.8,2025-04-21,19:17:20.036,7pm_food_truck
60.0,2025-04-21,19:17:20.246,7pm_food_truck
59.4,2025-04-21,19:17:20.456,7pm_food_truck
59.6,2025-04-21,19:17:20.666,7pm_food_truck
59.2,2025-04-21,19:17:20.876,7pm_food_truck
59.1,2025-04-21,19:17:21.086,7pm_food_truck
58.0,2025-04-21,19:17:21.296,7pm_food_truck
59.4,2025-04-21,19:17:21.506,7pm_food_truck
59.4,2025-04-21,19:17:21.716,7pm_food_truck
58.6,2025-04-21,19:17:21.926,7pm_food_truck
59.1,2025-04-21,19:17:22.137,7pm_food_truck
58.7,2025-04-21,19:17:22.346,7pm_food_truck
59.8,2025-04-21,19:17:22.556,7pm_food_truck
59.8,2025-04-21,19:17:22.766,7pm_food_truck
59.0,2025-04-21,19:17:22.976,7pm_food_truck
58.9,2025-04-21,19:17:23.186,7pm_food_truck
59.8,2025-04-21,19:17:23.396,7pm_food_truck
59.8,2025-04-21,19:17:23.606,7pm_food_truck
59.1,2025-04-21,19:17:23.816,7pm_food_truck
61.4,2025-04-21,19:17:24.026,7pm_food_truck
60.2,2025-04-21,19:17:24.236,7pm_food_truck
57.9,2025-04-21,19:17:24.446,7pm_food_truck
57.4,2025-04-21,19:17:24.656,7pm_food_truck
57.8,2025-04-21,19:17:24.866,7pm_food_truck
57.6,2025-04-21,19:17:25.076,7pm_food_truck
58.8,2025-04-21,19:17:25.286,7pm_food_truck
59.9,2025-04-21,19:17:25.496,7pm_food_truck
57.1,2025-04-21,19:17:25.706,7pm_food_truck
56.6,2025-04-21,19:17:25.916,7pm_food_truck
57.4,2025-04-21,19:17:26.126,7pm_food_truck
59.0,2025-04-21,19:17:26.336,7pm_food_truck
59.9,2025-04-21,19:17:26.546,7pm_food_truck
59.6,2025-04-21,19:17:26.756,7pm_food_truck
57.7,2025-04-21,19:17:26.966,7pm_food_truck
56.5,2025-04-21,19:17:27.176,7pm_food_truck
57.7,2025-04-21,19:17:27.386,7pm_food_truck
58.2,2025-04-21,19:17:27.596,7pm_food_truck
57.8,2025-04-21,19:17:27.806,7pm_food_truck
66.8,2025-04-21,19:17:28.016,7pm_food_truck
62.7,2025-04-21,19:17:28.226,7pm_food_truck
67.5,2025-04-21,19:17:28.436,7pm_food_truck
64.9,2025-04-21,19:17:28.646,7pm_food_truck
69.3,2025-04-21,19:17:28.856,7pm_food_truck
65.0,2025-04-21,19:17:29.066,7pm_food_truck
76.1,2025-04-21,19:17:29.276,7pm_food_truck
65.0,2025-04-21,19:17:29.486,7pm_food_truck
64.5,2025-04-21,19:17:29.696,7pm_food_truck
65.4,2025-04-21,19:17:29.906,7pm_food_truck
65.6,2025-04-21,19:17:30.116,7pm_food_truck
59.9,2025-04-21,19:17:30.326,7pm_food_truck
60.6,2025-04-21,19:17:30.536,7pm_food_truck
59.5,2025-04-21,19:17:30.746,7pm_food_truck
60.5,2025-04-21,19:17:30.956,7pm_food_truck
60.7,2025-04-21,19:17:31.166,7pm_food_truck
59.9,2025-04-21,19:17:31.376,7pm_food_truck
63.1,2025-04-21,19:17:31.586,7pm_food_truck
65.2,2025-04-21,19:17:31.796,7pm_food_truck
61.4,2025-04-21,19:17:32.006,7pm_food_truck
61.3,2025-04-21,19:17:32.216,7pm_food_truck
61.4,2025-04-21,19:17:32.426,7pm_food_truck
61.3,2025-04-21,19:17:32.636,7pm_food_truck
61.5,2025-04-21,19:17:32.846,7pm_food_truck
62.2,2025-04-21,19:17:33.056,7pm_food_truck
62.0,2025-04-21,19:17:33.266,7pm_food_truck
63.2,2025-04-21,19:17:33.476,7pm_food_truck
63.8,2025-04-21,19:17:33.686,7pm_food_truck
62.5,2025-04-21,19:17:33.896,7pm_food_truck
62.1,2025-04-21,19:17:34.106,7pm_food_truck
61.8,2025-04-21,19:17:34.316,7pm_food_truck
61.0,2025-04-21,19:17:34.526,7pm_food_truck
60.0,2025-04-21,19:17:34.736,7pm_food_truck
59.8,2025-04-21,19:17:34.946,7pm_food_truck
59.9,2025-04-21,19:17:35.156,7pm_food_truck
59.8,2025-04-21,19:17:35.366,7pm_food_truck
59.5,2025-04-21,19:17:35.576,7pm_food_truck
59.1,2025-04-21,19:17:35.786,7pm_food_truck
59.4,2025-04-21,19:17:35.996,7pm_food_truck
71.1,2025-04-21,19:17:36.206,7pm_food_truck
59.0,2025-04-21,19:17:36.416,7pm_food_truck
60.0,2025-04-21,19:17:36.626,7pm_food_truck
62.3,2025-04-25,09:55:20.063,21st_littlefield_fountain
61.7,2025-04-25,09:55:20.272,21st_littlefield_fountain
62.7,2025-04-25,09:55:20.482,21st_littlefield_fountain
63.2,2025-04-25,09:55:20.693,21st_littlefield_fountain
62.1,2025-04-25,09:55:20.903,21st_littlefield_fountain
63.0,2025-04-25,09:55:21.113,21st_littlefield_fountain
61.8,2025-04-25,09:55:21.323,21st_littlefield_fountain
61.3,2025-04-25,09:55:21.533,21st_littlefield_fountain
63.0,2025-04-25,09:55:21.743,21st_littlefield_fountain
63.7,2025-04-25,09:55:21.952,21st_littlefield_fountain
65.0,2025-04-25,09:55:22.163,21st_littlefield_fountain
65.0,2025-04-25,09:55:22.372,21st_littlefield_fountain
65.0,2025-04-25,09:55:22.583,21st_littlefield_fountain
63.8,2025-04-25,09:55:22.793,21st_littlefield_fountain
63.7,2025-04-25,09:55:23.003,21st_littlefield_fountain
64.8,2025-04-25,09:55:23.213,21st_littlefield_fountain
63.8,2025-04-25,09:55:23.423,21st_littlefield_fountain
63.1,2025-04-25,09:55:23.633,21st_littlefield_fountain
64.1,2025-04-25,09:55:23.843,21st_littlefield_fountain
64.3,2025-04-25,09:55:24.053,21st_littlefield_fountain
64.6,2025-04-25,09:55:24.263,21st_littlefield_fountain
65.4,2025-04-25,09:55:24.473,21st_littlefield_fountain
64.2,2025-04-25,09:55:24.683,21st_littlefield_fountain
63.9,2025-04-25,09:55:24.893,21st_littlefield_fountain
63.3,2025-04-25,09:55:25.103,21st_littlefield_fountain
71.3,2025-04-25,09:55:25.313,21st_littlefield_fountain
65.6,2025-04-25,09:55:25.523,21st_littlefield_fountain
64.9,2025-04-25,09:55:25.733,21st_littlefield_fountain
65.3,2025-04-25,09:55:25.943,21st_littlefield_fountain
65.4,2025-04-25,09:55:26.152,21st_littlefield_fountain
65.7,2025-04-25,09:55:26.362,21st_littlefield_fountain
65.1,2025-04-25,09:55:26.572,21st_littlefield_fountain
64.8,2025-04-25,09:55:26.782,21st_littlefield_fountain
64.2,2025-04-25,09:55:26.992,21st_littlefield_fountain
63.4,2025-04-25,09:55:27.203,21st_littlefield_fountain
63.7,2025-04-25,09:55:27.412,21st_littlefield_fountain
78.4,2025-04-25,09:55:27.622,21st_littlefield_fountain
65.7,2025-04-25,09:55:27.832,21st_littlefield_fountain
64.7,2025-04-25,09:55:28.043,21st_littlefield_fountain
63.7,2025-04-25,09:55:28.253,21st_littlefield_fountain
63.1,2025-04-25,09:55:28.462,21st_littlefield_fountain
63.6,2025-04-25,09:55:28.673,21st_littlefield_fountain
66.4,2025-04-25,09:55:28.882,21st_littlefield_fountain
63.3,2025-04-25,09:55:29.092,21st_littlefield_fountain
63.5,2025-04-25,09:55:29.303,21st_littlefield_fountain
63.4,2025-04-25,09:55:29.512,21st_littlefield_fountain
